sr3-rtx shape probe - world-space bounds of every draw near the camera, one frame
frame 1550, camera (96.3 147.7 36.1)
flat = smallest axis relative to the largest; a dish, cap or ring is very flat

 draw disp     verts  prims  size x/y/z             centre                    dist  flat  shader / why
 1107 PASS     7977   245    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1108 PASS     7977   131    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1109 PASS     7977   183    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1110 PASS     7977   498    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1111 PASS     7977   1457   1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1112 PASS     7977   250    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1113 PASS     7977   143    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1114 PASS     7977   175    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1115 PASS     7977   570    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1116 PASS     7977   1416   1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1117 PASS     7977   539    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1118 PASS     7977   723    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1119 PASS     7977   198    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1120 PASS     7977   86     1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1121 PASS     7977   188    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1122 PASS     7977   386    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1123 PASS     7977   1318   1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1124 PASS     7977   170    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1125 PASS     7977   84     1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1126 PASS     7977   195    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1127 PASS     7977   647    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1128 PASS     7977   740    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1129 PASS     7977   309    1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Diffuse_MapSampler' rank=100 | skinned (c52 bone palette), awaiting the skinning port
 1130 PASS     7977   2972   1.2/1.8/0.3            97/147/30                  6.6  0.18  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1131 PASS     1128   2886   0.3/0.4/0.3            97/147/30                  6.5  0.70  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1132 PASS     3      1      0.0/0.0/0.0            97/147/30                  6.6  0.06  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1133 PASS     1080   499    0.1/0.1/0.1            96/147/30                  6.6  0.90  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1134 PASS     1080   500    0.1/0.1/0.1            96/147/30                  6.6  0.90  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1135 PASS     1080   501    0.1/0.1/0.1            96/147/30                  6.6  0.90  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1136 PASS     1080   499    0.2/0.1/0.1            97/147/30                  6.5  0.81  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1137 PASS     1080   499    0.2/0.1/0.1            97/147/30                  6.5  0.81  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1138 PASS     1080   499    0.2/0.1/0.1            97/147/30                  6.5  0.81  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1139 PASS     536    892    0.1/0.0/0.1            97/147/30                  6.4  0.41  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1140 PASS     536    243    0.1/0.0/0.1            97/147/30                  6.4  0.41  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1141 PASS     416    964    0.2/0.1/0.0            97/147/30                  6.5  0.20  ps='Normal_MapSampler' rank=0 | skinned (c52 bone palette), awaiting the skinning port
 1142 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1143 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1144 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1145 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1146 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1147 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1148 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1149 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1150 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1151 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1152 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1153 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1154 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1155 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1156 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1157 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1158 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1159 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
 1160 MARK     8      12     1.0/1.0/1.0            0/0/0                    180.0  1.00  ps='' rank=0 | prepass: shader samples nothing
